Equipo;Competencia;Internacional;Oficial;Rival;Minuto;Fecha;Ciudad;Pais;Condición;Resultado Final;
River Plate;Amistoso;No;No;Sportivo Belgrano;18;03/03/1951;San Francisco Córdoba;Argentina;Visitante;5-0;
River Plate;Amistoso;No;No;Sportivo Belgrano;72;03/03/1951;San Francisco Córdoba;Argentina;Visitante;5-0;
River Plate;Amistoso;No;No;Sportivo Belgrano;76;03/03/1951;San Francisco Córdoba;Argentina;Visitante;5-0;
River Plate;Amistoso;No;No;Seleccíon de Córdoba;;04/03/1951;Córdoba;Argentina;Visitante;2-2;
River Plate;Amistoso;No;No;Mitre (Sgo. del Estero);;08/03/1951;Santiago del Estero;Argentina;Visitante;2-2;
River Plate;Amistoso;No;No;Argentino del Norte (T);;10/03/1951;Tucumán;Argentina;Visitante;2-2;
River Plate;Amistoso;No;No;Comb. de Tucumán;;12/03/1951;Tucumán;Argentina;Visitante;6-3;
River Plate;Amistoso;No;No;Comb. de Tucumán;;12/03/1951;Tucumán;Argentina;Visitante;6-3;
River Plate;Amistoso;No;No;Liga de Salta;;14/03/1951;Salta;Argentina;Visitante;4-0;
River Plate;Amistoso;No;No;Liga de Salta;;14/03/1951;Salta;Argentina;Visitante;4-0;
River Plate;Amistoso;No;No;Boca;62;18/03/1951;Buenos Aires;Argentina;Neutral;5-4;
River Plate;Amistoso;No;No;Boca;65;18/03/1951;Buenos Aires;Argentina;Neutral;5-4;
River Plate;Amistoso;No;No;Platense;;25/03/1951;Buenos Aires;Argentina;Neutral;1-2;
River Plate;Amistoso;No;No;Talleres (Cba);;31/03/1951;Córdoba;Argentina;Visitante;2-2;
River Plate;Amistoso;No;No;Unión SF;;08/04/1951;Santa Fe;Argentina;Visitante;2-2;
Selección Argentina;Amistoso;Si;No;Irlanda;54;13/05/1951;Dublin;Irlanda;Visitante;1-0;
River Plate;Primera División AFA;No;Si;Platense;;01/06/1951;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Platense;;01/06/1951;Buenos Aires;Argentina;Local;3-2;
River Plate;Primera División AFA;No;Si;Huracán;;10/06/1951;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Chacarita;;17/06/1951;Buenos Aires;Argentina;Visitante;5-1;
River Plate;Primera División AFA;No;Si;Chacarita;;17/06/1951;Buenos Aires;Argentina;Visitante;5-1;
River Plate;Amistoso;Si;No;Torino ;45;29/06/1951;Buenos Aires;Argentina;Local;3-1;
River Plate;Primera División AFA;No;Si;Platense;;01/07/1951;Buenos Aires;Argentina;Local;1-1;
River Plate;Primera División AFA;No;Si;Lanús;;12/07/1951;Lanús;Argentina;Visitante;2-1;
River Plate;Primera División AFA;No;Si;Boca;;15/07/1951;Buenos Aires;Argentina;Local;1-0;
River Plate;Primera División AFA;No;Si;Vélez;;22/07/1951;Buenos Aires;Argentina;Local;3-3;
River Plate;Amistoso;No;No;Racing;;25/07/1951;Junin;Argentina;Neutral;3-3;
River Plate;Primera División AFA;No;Si;Newells;;15/08/1951;Buenos Aires;Argentina;Local;5-1;
River Plate;Primera División AFA;No;Si;Newells;;15/08/1951;Buenos Aires;Argentina;Local;5-1;
River Plate;Amistoso;No;No;Liga de Caucete SJ;;25/08/1951;San Juan;Argentina;Visitante;6-0;
River Plate;Amistoso;No;No;CA de la Juventud SJ;;26/08/1951;San Juan;Argentina;Visitante;1-0;
River Plate;Primera División AFA;No;Si;Estudiantes;;02/09/1951;Buenos Aires;Argentina;Local;4-1;
River Plate;Primera División AFA;No;Si;Ferro;;16/09/1951;Buenos Aires;Argentina;Local;2-1;
River Plate;Primera División AFA;No;Si;Vélez;;04/11/1951;Buenos Aires;Argentina;Local;1-1;
River Plate;Gira Europea;Si;No;Athetic Bilbao;;20/12/1951;Bilbao;España;Visitante;2-5;
River Plate;Gira Europea;Si;No;Athetic Bilbao;;20/12/1951;Bilbao;España;Visitante;2-5;
River Plate;Gira Europea;Si;No;Atlético de Madrid;65;25/12/1951;Madrid;España;Visitante;3-3;
